,country,code,indicator,time,value
205,United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
206,United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
207,United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
208,Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
209,Uzbekistan,UZB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
210,Vanuatu,VUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
211,"Venezuela, RB",VEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
212,Vietnam,VNM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
213,Virgin Islands (U.S.),VIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
214,West Bank and Gaza,PSE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
215,"Yemen, Rep.",YEM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
216,Zambia,ZMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1433
217,Zimbabwe,ZWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
218,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,9409
219,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,25469
220,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
221,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0
222,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
223,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
224,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
225,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,321782
226,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
227,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
228,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,193532
229,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,59778
230,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
231,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
232,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,289
233,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
234,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,763
235,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,286134
236,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,124857
237,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,113
238,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,311
239,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
240,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
241,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,33137
242,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
243,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0
244,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,569230
245,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
246,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
247,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,99596
248,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,183
249,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,466
250,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
251,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,9228
252,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,2690
253,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
254,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
255,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,155
256,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,0
257,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
258,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,101087
259,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
260,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,99262
261,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
262,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,12363
263,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1788
264,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,17588
265,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,4381
266,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
267,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,26342
268,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
269,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,698
270,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,79024
271,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,76024
272,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
273,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
274,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,23546
275,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,38692
276,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,233304
277,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,12945
278,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
279,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
280,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
281,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,4543
282,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
283,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,548
284,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,59769
285,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,801156
286,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
287,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,172
288,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
289,Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
290,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
291,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,5426
292,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
293,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,85776
294,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
295,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
296,Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,2719
297,Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,17114
298,Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1974
299,Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
300,Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1112
301,Haiti,HTI,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
302,Honduras,HND,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
303,"Hong Kong SAR, China",HKG,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,25516
304,Hungary,HUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,80536
305,Iceland,ISL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1706
306,India,IND,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,2472963
307,Indonesia,IDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
308,"Iran, Islamic Rep.",IRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,74708
309,Iraq,IRQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,42431
310,Ireland,IRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,28501
311,Isle of Man,IMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,NA
312,Israel,ISR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,55486
313,Italy,ITA,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,687242
314,Jamaica,JAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,6892
315,Japan,JPN,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,1819323
316,Jordan,JOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1971,4518
