Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",,4381,4616,5684,6148,,7174,8701,10201,12470,14418,19633,18732,,18872,19660,,23642,,,,,30064,37811,49851,52225,,87873,,96681,,,,,,,,156772,151671,152896,144270,66232,,169351,176504,192689,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,64966,,,,,55886,,,,69021,72342,69822,77689,82361,82251,86357,85752,90021,95889,96798,104168,112537,121722,126322,134658,136646,139996,143410,139069,149853,153960,157289,164623,166061,162022,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",,26342,36877,48735,55435,68051,82688,106850,122456,133014,146240,151733,165496,173403,192958,212155,235224,256619,262225,250604,242366,242434,224568,198474,176228,140815,122346,111587,104595,153463,158674,178021,191262,235997,396516,471858,681629,864846,987250,970895,800873,664775,503182,373286,301773,261413,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",,698,810,921,849,,,,1097,1455,1522,1940,1977,1804,2201,2580,3134,3419,4247,5066,5852,6554,5898,6263,6732,7765,8874,9982,,10842,10414,11934,13927,18272,20849,20078,20587,22227,25688,30986,32233,32118,31772,31965,33674,37166,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",,79024,73854,73315,77783,83814,90649,100004,107683,109944,114477,118026,118881,117284,112497,109329,107098,108734,109570,110619,113417,118194,112654,116560,163394,178853,191604,207221,215041,231224,253695,260044,284485,287001,318858,336307,338009,363277,392540,416847,437354,446158,440230,427441,418624,395529,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",,76024,86545,96883,103553,105414,110271,110637,117656,104978,106579,106241,106669,110731,113157,114559,116319,118641,122256,126662,134731,142968,150159,164356,169619,169783,174975,,183274,189970,189162,192022,196204,201746,217130,232255,228893,232194,230707,234574,240536,258932,275009,291147,301399,313756,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,0,,,,,0,,,,,0,,,,,0,53,61,75,,130,161,,175,190,496,728,906,1134,1696,1928,2192,2453,3159,3225,4705,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,63,,,58,60,,,,68,,430,658,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",,23546,30345,34548,,41352,,,,,,,,,,,123748,,,,,,,,,,,176995,,,,,,286954,,,,,,,,,445909,,455822,480103,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",,38692,43743,57677,,136695,170173,,,233684,255418,269775,261075,254148,266222,280594,,,271956,244763,197614,206541,,,,202682,,213496,,,,,,,,,,,534522,,,,572721,586105,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",,233304,262501,305653,351522,408235,480016,565333,606579,626624,659544,715701,778216,826529,873565,838142,854584,878323,875033,761539,733275,628233,,,,,,,,2039240,,2118675,2263645,2097519,2260758,2351981,2402860,2484983,2500913,2567568,2645832,2246244,2301182,2477581,2544107,2868912,,,,,,,,,,,,,,,,,,,
